NAME,STATE,POPULATION,COUNTY,NAICS_DESC,LEVEL_,TOT_ENROLL,LATITUDE,LONGITUDE
NOSSI COLLEGE OF ART,TN,306,DAVIDSON,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,261,36.299628144, -86.701027196
DIXIE APPLIED TECHNOLOGY COLLEGE,UT,307,WASHINGTON,OTHER TECHNICAL AND TRADE SCHOOLS,3,248,37.107610772, -113.563183366
HILLSDALE FREE WILL BAPTIST COLLEGE,OK,307,CLEVELAND,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,234,35.300708172, -97.491049977
ADRIAN'S COLLEGE OF BEAUTY MODESTO,CA,307,STANISLAUS,COSMETOLOGY AND BARBER SCHOOLS,3,280,37.677778079, -120.992752743
PAUL MITCHELL THE SCHOOL-SAN DIEGO,CA,307,SAN DIEGO,COSMETOLOGY AND BARBER SCHOOLS,3,278,32.719045356, -117.160779832
LU ROSS ACADEMY,CA,308,VENTURA,COSMETOLOGY AND BARBER SCHOOLS,3,274,34.278033814, -119.293951833
KAPLAN COLLEGE-FRESNO,CA,308,FRESNO,JUNIOR COLLEGES,2,272,36.807192862, -119.708287074
BLUE CLIFF COLLEGE-ALEXANDRIA,LA,308,RAPIDES,JUNIOR COLLEGES,2,271,31.275717843, -92.476620205
CADDO KIOWA TECHNOLOGY CENTER,OK,308,CADDO,BUSINESS AND SECRETARIAL SCHOOLS,2,187,35.108563, -98.445444
POLARIS CAREER CENTER,OH,308,CUYAHOGA,OTHER TECHNICAL AND TRADE SCHOOLS,3,248,41.364400243, -81.832473687
UNIVERSITY OF PHOENIX-IDAHO,ID,309,ADA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,245,43.598436971, -116.356679745
BLESSING RIEMAN COLLEGE OF NURSING,IL,309,ADAMS,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,253,39.93654891, -91.399045147
INSTITUTE OF PRODUCTION AND RECORDING,MN,310,HENNEPIN,JUNIOR COLLEGES,2,243,44.984930843, -93.272523438
KAPLAN COLLEGE-CHULA VISTA,CA,311,SAN DIEGO,JUNIOR COLLEGES,2,279,32.6294397, -117.087816526
UNION THEOLOGICAL SEMINARY IN THE CITY OF NEW YORK,NY,311,NEW YORK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",1,233,40.81146088, -73.962120186
